original_keyword,equivalent_keyword
break,pausar
case,caso
catch,atrapar
class,clase
const,constante
continue,continuar
debugger,debugger
default,pordefecto
delete,eliminar
do,hacer
else,sino
export,exportar
extends,extiende
finally,finalmente
for,por
function,function
if,siesque
import,importar
in,en
instanceof,ejemplode
new,nuevo
return,retornar
super,superior
switch,paracadacaso
this,este
throw,botar
try,intentar
typeof,tipode
var,variable
void,vacio
while,mientras
with,con
yield,cederpaso
enum,enumerador
implements,implementa
interface,interface
let,declarar
package,paquete
private,privado
protected,protegido
public,publico
static,estatico
await,esperar
null,nulo
true,verdad
false,falsedad
arguments,arguments
get,leer
set,asignar
